name,matched_on_ot,platform_in_booking_master,url
frank's trattoria,Frank's Trattoria,website,https://frankstrattoriaonfirst.com/
fresco's cantina,Fresco's Cantina,walk_in,
fresh salt,Fresh Salt,website,http://www.seasaltsnyc.com
friend of a farmer gramercy,Friend of a Farmer,resy,https://resy.com/cities/new-york-ny/venues/friend-of-a-farmer-gramercy
friends and lovers,Friends and Lovers,website,http://pastaloversnyc.com/contact.html
frying pan nyc,Frying Pan,resy,https://resy.com/cities/new-york-ny/venues/frying-pan-nyc
fuel,Fuel - NYC,website,https://www.thefueljuicebar.com/
fuku omakase,Fuku Omakase,resy,https://resy.com/cities/new-york-ny/venues/fuku-omakase
fusion east,Fusion East,website,http://www.fusioneastny.com/
ganhoo bbq,GAN-HOO BBQ,website,https://www.ganhoobbq.com/
geisha asian fusion,Geisha Asian Fusion,website,https://geisha.group/
geisha japanese grill,Geisha Japanese Grill,website,https://geisha.group/
gemma,Gemma - The Bowery Hotel,website,http://www.theboweryhotel.com/dining/gemma
giando on the water,Giando on the Water,website,http://www.giandoonthewater.com/
gina la fornarina,Gina La Fornarina,website,https://farinaon2nd.com/
go chin khao man gai,Go Chin Khao Man Gai,website,http://gochinkhaomangai.com/
go sushi,Go Sushi,website,https://gosushinytogo.com/
golden lake pavilion,Golden Lake Pavilion,website,https://m.facebook.com/LakePavilion/
golden thai,Golden Thai,website,https://www.goldenthaibrooklyn.com/order
golden wonton king,Golden Wonton King,walk_in,
good friends restaurant,Good Friends,walk_in,
good guy's,Good Guy's,website,http://www.thegoodgoodnyc.com/
gorkhali brooklyn,Gorkhali - Brooklyn,website,https://www.grubhub.com/restaurant/gorkhali-restaurant-160-havemeyer-st-brooklyn/7321768?proof=true
gotham burger social club,Gotham Burger Social Club,website,http://gbsc.nyc/
gradisca,Gradisca,website,http://www.alicenyc.com/
gramercy ale house,Gramercy Ale House,walk_in,
grand canyon bistro,Grand Canyon Bistro,website,http://bistro300.com/
grand sahara mediterranean grill,Grand Sahara Mediterranean Grill,website,https://grandsaharagrill.com/?utm_source=google
grand sichuan eastern,Grand Sichuan Eastern - Chelsea,website,https://www.sichuanhunan1049.com/
grand vin,Grand Vin,website,http://grandvinhoboken.com/
grandma's home,Grandma's Home,resy,https://resy.com/cities/new-york-ny/venues/grandmas-home
grata thai cuisine,Grata Thai Cuisine,website,https://gratathaicuisinenyc.com/
great wall nyc,Great Wall,walk_in,
greek express,Greek Express,walk_in,
grill 21,Grill 21,website,https://grill21nyc.com/
grill point,Grill Point,website,https://grillpointnyc.com/
guest new york,Guest - New York,website,https://rhguesthouse.com/diningroom
gunbae tribeca,Gunbae,website,http://www.gunbaetribeca.com/
gus's chop house,Gus's Chop House,unknown,
haidilao hot pot,Haidilao Hot Pot,website,https://www.superhiinternational.com/serve/storeSearch
haile bistro,Haile Bistro,website,http://hailecuisine.com/
hainan chicken house,Hainan Chicken House,website,http://www.hainanchickenhouse.com/
hair of the dog,Hair of the Dog,website,https://www.hairofthedognyc.com/
han dynasty - east village,Han Dynasty,resy,https://resy.com/cities/new-york-ny/venues/han-dynasty-east-village
happy dragon,Happy Dragon,website,https://www.luckydragonofny.com/
happy garden restaurant,Happy Garden,walk_in,
harlemite,Harlemite,website,https://www.harlemiterestaurant.com/?fbclid=PAAaYi1phGndi6pgBp_Kc5ArhLxvUsKZ8eNnvEHWYzZf0yI3Z5UsDUBRFLlhc
harry's italian,Harry's Italian - Financial District,website,http://www.harrysitalian.com/
haven uws,Haven UWS,resy,https://resy.com/cities/new-york-ny/venues/haven
hearth,Hearth,resy,https://resy.com/cities/new-york-ny/venues/hearth
hei tiki sushi and bar,Hei Tiki & Sushi Bar,resy,https://resy.com/cities/new-york-ny/venues/hei-tiki-sushi-and-bar
hello saigon,Hello Saigon,website,https://hellosaigon-nyc.com/
hero thai & izakaya,Hero Thai & Izakaya,website,https://www.heroesthaiizakaya.com/
hero thai-izakaya,Hero Thai & Izakaya,website,https://www.heroesthaiizakaya.com/
hey thai,Hey Thai,resy,https://resy.com/cities/new-york-ny/venues/hey-thai
hibachi express,Hibachi Express,website,https://www.hibachiexpressny.com/
hibino,Hibino - Long Island City,website,https://hibino-lic.com/
hillstone,Hillstone - Dallas,website,https://hillstonerestaurant.com/locations/nyc-parkavenuesouth/
hilton garden inn,Hilton Garden Inn  - Tribeca,website,https://www.hilton.com/en/hotels/nycssgi-hilton-garden-inn-new-york-times-square-central/?SEO_id=GMB-AMER-GI-NYCSSGI&y_source=1_MjA4MjMxNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
himalayan curry house,Himalayan Curry House,website,https://www.himalayancurryhousenyc.com/
hk kitchen & draft house,HK Kitchen & Draft House,website,https://hkkitchendrafthouse.shop/
home kitchen,Home Kitchen,website,http://www.homekitchennyc.com/
homemade taqueria,Homemade Taqueria,website,https://homemadetaqueria.com/newyork1?utm_source=google
hometown hotpot & bbq,Hometown Hotpot & BBQ,website,http://hometownhotpot.com/
hooters,Hooters - Fresh Meadows,unknown,
hou yi hot pot,Hou Yi Hot Pot,website,https://houyihotpotnewyork.mybistro.online/
house of lasagna,House of Lasagna - Manila,website,http://houseoflasagnanyc.com/
house of thai,House of Thai,website,https://www.houseofthainy.com/
